metodo,w1,w2,w3,w4,FO1_kUSD,FO2_tCO2,FO3_emp,FO4_pct,FO1_norm,FO2_norm,FO3_norm,FO4_norm,dist_utopico,n_tec,tec_list,fo_principal
eps_FO3,0.0,0.0,0.0,0.0,279899.52,27385.298,12967.528,94.86,0.25,0.5,0.4399,0.0,0.7113,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",3.0
chebyshev,0.05,0.05,0.05,0.85,233677.68,18209.038,13550.757,100.0,0.4008,0.4008,0.4008,0.0,0.6942,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",
chebyshev,0.05,0.31666666666666665,0.05,0.5833333333333334,117297.82,-7463.171,8822.137,82.05,0.7805,0.1232,0.7176,0.0,1.0674,6,"['molienda', 'secado', 'compostaje', 'hidrolisis_enzimatica', 'pirolisis', 'carbonizacion']",
chebyshev,0.05,0.31666666666666665,0.31666666666666665,0.31666666666666665,15324.34,10411.26,14809.101,100.0,1.0,0.3165,0.3165,0.0,1.0956,6,"['molienda', 'secado', 'compostaje', 'fermentacion', 'pirolisis', 'carbonizacion']",
chebyshev,0.05,0.31666666666666665,0.5833333333333334,0.05,50.0,17216.134,15219.058,100.0,1.0,0.3901,0.289,0.0,1.1116,6,"['molienda', 'secado', 'compostaje', 'fermentacion', 'pirolisis', 'carbonizacion']",
chebyshev,0.05,0.5833333333333334,0.05,0.31666666666666665,61207.55,-11222.932,8358.344,85.84,0.9634,0.0826,0.7487,0.0,1.2229,5,"['molienda', 'secado', 'compostaje', 'pirolisis', 'carbonizacion']",
chebyshev,0.05,0.5833333333333334,0.31666666666666665,0.05,28528.77,508.231,13775.044,98.92,1.0,0.2094,0.3858,0.0,1.0921,5,"['molienda', 'secado', 'compostaje', 'pirolisis', 'carbonizacion']",
chebyshev,0.05,0.85,0.05,0.05,93893.88,-14199.35,6744.388,56.77,0.8568,0.0504,0.8568,0.0,1.2128,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",
chebyshev,0.31666666666666665,0.31666666666666665,0.05,0.31666666666666665,250429.23,13154.457,8755.087,77.21,0.3461,0.3461,0.7221,0.0,0.8724,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",
chebyshev,0.31666666666666665,0.5833333333333334,0.05,0.05,234596.67,1112.2,9705.527,91.33,0.3978,0.2159,0.6584,0.0,0.799,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",
chebyshev,0.5833333333333334,0.05,0.05,0.31666666666666665,342579.23,30259.055,11606.221,96.51,0.0455,0.5311,0.5311,0.0,0.7524,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",
chebyshev,0.5833333333333334,0.05,0.31666666666666665,0.05,319950.36,66248.41,16251.54,100.0,0.1193,0.9202,0.2198,0.0,0.9536,6,"['molienda', 'secado', 'compostaje', 'fermentacion', 'extraccion_solventes', 'hidrolisis_enzimatica']",
chebyshev,0.5833333333333334,0.31666666666666665,0.05,0.05,289863.03,18196.221,9403.314,81.08,0.2175,0.4007,0.6787,0.0,0.8176,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",
chebyshev,0.85,0.05,0.05,0.05,346524.56,32476.184,11248.438,100.0,0.0326,0.555,0.555,0.0,0.7856,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",
