mes,Q_gen,Q_total,Q_recoleccion,eta_cadena,bio_hojas,bio_cormo,bio_flores_c,bio_campo_tot,bio_raquis,bio_bracteas,bio_flores_e,bio_manos,costo_log,GEI_total,fertilidad,superficie,residuos_campo,alpha_red,perdida_red,G_max_din,bio_total_verificado
45,105238.8187,77266.2201,0.4200,0.4200,11273.5746,5636.7873,1691.0362,97516.4201,2536.5543,901.8860,563.6787,3720.2796,0,7782.6367,0.4569,36792.0233,183967.1906,0.7342,27972.5987,3215.3779,26323.7967
46,105446.2230,77424.7785,0.4200,0.4200,11295.7925,5647.8963,1694.3689,97708.6051,2541.5533,903.6634,564.7896,3727.6115,0,7797.9814,0.4560,36872.0931,184344.7107,0.7343,28021.4445,3219.9472,26375.6755
47,105649.0256,77580.0684,0.4200,0.4200,11317.5175,5658.7587,1697.6276,97896.5261,2546.4414,905.4014,565.8759,3734.7808,0,7812.9859,0.4551,36950.5712,184714.4486,0.7343,28068.9571,3224.5073,26426.4033
48,105847.1319,77732.0202,0.4200,0.4200,11338.7394,5669.3697,1700.8109,98080.0955,2551.2164,907.0991,566.9370,3741.7840,0,7827.6433,0.4542,37027.4234,185076.2385,0.7344,28115.1118,3229.0583,26475.9564
49,106040.4487,77880.5641,0.4200,0.4200,11359.4482,5679.7241,1703.9172,98259.2267,2555.8758,908.7559,567.9724,3748.6179,0,7841.9466,0.4533,37102.6161,185429.9145,0.7344,28159.8847,3233.6002,26524.3115
50,106228.8841,78025.6310,0.4200,0.4200,11379.6341,5689.8170,1706.9451,98433.8348,2560.4177,910.3707,568.9817,3755.2792,0,7855.8890,0.4524,37176.1160,185775.3120,0.7345,28203.2531,3238.1330,26571.4456
51,106412.3486,78167.1527,0.4200,0.4200,11399.2875,5699.6437,1709.8931,98603.8367,2564.8397,911.9430,569.9644,3761.7649,0,7869.4639,0.4515,37247.8906,186112.2683,0.7346,28245.1959,3242.6567,26617.3363
52,106590.7558,78305.0621,0.4200,0.4200,11418.3991,5709.1996,1712.7599,98769.1524,2569.1398,913.4719,570.9200,3768.0717,0,7882.6649,0.4506,37317.9087,186440.6240,0.7346,28285.6937,3247.1714,26661.9619
53,106764.0231,78439.2941,0.4200,0.4200,11436.9602,5718.4801,1715.5440,98929.7054,2573.3160,914.9568,571.8480,3774.1969,0,7895.4859,0.4497,37386.1402,186760.2241,0.7347,28324.7290,3251.6770,26705.3020
54,106932.0727,78569.7862,0.4200,0.4200,11454.9623,5727.4811,1718.2443,99085.4236,2577.3665,916.3970,572.7481,3780.1375,0,7907.9211,0.4488,37452.5566,187070.9194,0.7348,28362.2866,3256.1737,26747.3369
55,107094.8325,78696.4786,0.4200,0.4200,11472.3977,5736.1989,1720.8597,99236.2401,2581.2895,917.7918,573.6199,3785.8912,0,7919.9653,0.4479,37517.1316,187372.5681,0.7348,28398.3539,3260.6613,26788.0486
56,107252.2368,78819.3155,0.4200,0.4200,11489.2594,5744.6297,1723.3889,99382.0941,2585.0834,919.1408,574.4630,3791.4556,0,7931.6135,0.4470,37579.8411,187665.0368,0.7349,28432.9214,3265.1400,26827.4208
57,107404.2275,78938.2451,0.4200,0.4200,11505.5412,5752.7706,1725.8312,99522.9317,2588.7468,920.4433,575.2771,3796.8286,0,7942.8614,0.4461,37640.6633,187948.2027,0.7350,28465.9823,3269.6097,26865.4388
58,107550.7545,79053.2209,0.4200,0.4200,11521.2378,5760.6189,1728.1857,99658.7067,2592.2785,921.6990,576.0619,3802.0085,0,7953.7053,0.4452,37699.5797,188221.9546,0.7350,28497.5336,3274.0705,26902.0902
59,107691.7775,79164.2019,0.4200,0.4200,11536.3447,5768.1723,1730.4517,99789.3814,2595.6775,922.9076,576.8172,3806.9937,0,7964.1422,0.4443,37756.5749,188486.1950,0.7351,28527.5756,3278.5224,26937.3648
60,107827.2657,79271.1533,0.4200,0.4200,11550.8587,5775.4293,1732.6288,99914.9275,2598.9432,924.0687,577.5429,3811.7834,0,7974.1699,0.4434,37811.6369,188740.8413,0.7352,28556.1124,3282.9653,26971.2550
61,107957.1997,79374.0475,0.4200,0.4200,11564.7777,5782.3888,1734.7167,100035.3270,2602.0750,925.1822,578.2389,3816.3766,0,7983.7868,0.4425,37864.7577,188985.8275,0.7352,28583.1521,3287.3994,27003.7559
62,108081.5712,79472.8643,0.4200,0.4200,11578.1008,5789.0504,1736.7151,100150.5722,2605.0727,926.2481,578.9050,3820.7733,0,7992.9924,0.4416,37915.9333,189221.1055,0.7353,28608.7069,3291.8246,27034.8654
63,108200.3845,79567.5916,0.4200,0.4200,11590.8285,5795.4143,1738.6243,100260.6669,2607.9364,927.2663,579.5414,3824.9734,0,8001.7869,0.4408,37965.1638,189446.6466,0.7354,28632.7929,3296.2409,27064.5847
64,108313.6560,79658.2259,0.4200,0.4200,11602.9626,5801.4813,1740.4444,100365.6266,2610.6666,928.2370,580.1481,3828.9777,0,8010.1716,0.4399,38012.4539,189662.4425,0.7354,28655.4302,3300.6485,27092.9177
65,108421.4155,79744.7726,0.4200,0.4200,11614.5062,5807.2531,1742.1759,100465.4788,2613.2639,929.1605,580.7253,3832.7871,0,8018.1486,0.4390,38057.8129,189868.5063,0.7355,28676.6429,3305.0472,27119.8720
66,108523.7058,79827.2468,0.4200,0.4200,11625.4639,5812.7320,1743.8196,100560.2630,2615.7294,930.0371,581.2732,3836.4031,0,8025.7211,0.4381,38101.2545,190064.8732,0.7356,28696.4590,3309.4371,27145.4583
67,108620.5828,79905.6725,0.4200,0.4200,11635.8418,5817.9209,1745.3763,100650.0312,2618.0644,930.8673,581.7921,3839.8278,0,8032.8931,0.4372,38142.7974,190251.6013,0.7356,28714.9102,3313.8182,27169.6905
68,108712.1154,79980.0840,0.4200,0.4200,11645.6471,5822.8235,1746.8471,100734.8472,2620.2706,931.6518,582.2824,3843.0635,0,8039.6699,0.4364,38182.4645,190428.7713,0.7357,28732.0314,3318.1906,27192.5859
69,108798.3855,80050.5246,0.4200,0.4200,11654.8886,5827.4443,1748.2333,100814.7867,2622.3499,932.3911,582.7444,3846.1133,0,8046.0574,0.4355,38220.2834,190596.4871,0.7358,28747.8609,3322.5542,27214.1650
70,108879.4869,80117.0475,0.4200,0.4200,11663.5765,5831.7883,1749.5365,100889.9370,2624.3047,933.0861,583.1788,3848.9803,0,8052.0625,0.4346,38256.2862,190754.8749,0.7358,28762.4395,3326.9091,27234.4512
71,108955.5256,80179.7149,0.4200,0.4200,11671.7221,5835.8610,1750.7583,100960.3959,2626.1375,933.7378,583.5861,3851.6683,0,8057.6930,0.4337,38290.5087,190904.0832,0.7359,28775.8106,3331.2553,27253.4710
72,109026.6180,80238.5982,0.4200,0.4200,11679.3378,5839.6689,1751.9007,101026.2716,2627.8510,934.3470,583.9669,3854.1815,0,8062.9576,0.4329,38322.9911,191044.2813,0.7360,28788.0198,3335.5927,27271.2537
73,109092.8908,80293.7767,0.4200,0.4200,11686.4371,5843.2186,1752.9656,101087.6813,2629.4484,934.9150,584.3219,3856.5243,0,8067.8656,0.4320,38353.7768,191175.6589,0.7360,28799.1140,3339.9216,27287.8307
74,109154.4798,80345.3381,0.4200,0.4200,11693.0348,5846.5174,1753.9552,101144.7510,2630.9328,935.4428,584.6517,3858.7015,0,8072.4271,0.4312,38382.9125,191298.4241,0.7361,28809.1417,3344.2417,27303.2363
75,109211.5289,80393.3769,0.4200,0.4200,11699.1461,5849.5731,1754.8719,101197.6138,2632.3079,935.9317,584.9573,3860.7182,0,8076.6526,0.4303,38410.4478,191412.8022,0.7361,28818.1520,3348.5532,27317.5062
76,109264.1887,80437.9942,0.4200,0.4200,11704.7872,5852.3936,1755.7181,101246.4095,2633.5771,936.3830,585.2394,3862.5798,0,8080.5532,0.4294,38436.4348,191519.0339,0.7362,28826.1945,3352.8561,27330.6782
77,109312.6157,80479.2968,0.4200,0.4200,11709.9749,5854.9874,1756.4962,101291.2829,2634.7444,936.7980,585.4987,3864.2917,0,8084.1407,0.4286,38460.9277,191617.3733,0.7362,28833.3189,3357.1504,27342.7914
78,109356.9708,80517.3962,0.4200,0.4200,11714.7264,5857.3632,1757.2090,101332.3832,2635.8134,937.1781,585.7363,3865.8597,0,8087.4268,0.4277,38483.9823,191708.0862,0.7363,28839.5746,3361.4361,27353.8861
